season,week,home,road,line,actual,hscore,vscore,linesag,linemass,linepfz,linelaz,linemoore,linesagr,linewayward,lineargh,linehow,linesagpred,linekam,linerwp,lineavg,lineelo,lineloud,lineborn,linedokter,linedunk,linebill,linepugh,linebihl,linecurry,lineclean,linefei,linemedian,lineharville,linesaggm,linemidweek,linedonchess,lineespn,linetalis,lineopen,linepig,linepiratings,linecons,linecong,linedwig,linepibias,linel2,lineteamrank,linelog,linefluker,linepimean,lineca,linel2hf,linekerns,linekeep,linebig200,linecfp,linestd,total,phcover,phwin
2025,2,USC,Missouri St.,35.5,60,73,13,34.04,31.11,26.12,29.28,,34.11,31.64,,37.0,34.11,40.34,16.65,32.99,31.1,8,,39.95,,33.83,38.38,,30.13,15.0,35.4,33.6,27.28,34.0,35.0,25.0,29.86,36.48,32.5,32.0,39.4,38.15,32.57,29.0,36.0,,35.8,,33.6,36.5,35.5,,62.65,32.63,24.9,,8.81,86,0.4450180574,0.9654060282
2025,2,Utah St.,UTEP,6.0,12,28,16,5.17,11.22,11.62,9.08,3.46,5.18,12.39,,12.5,5.18,15.33,11.25,9.25,13.97,5,,6.35,,7.17,11.31,,9.31,9.0,11.0,9.2,7.5,5.17,6.0,3.1,7.13,14.48,3.5,10.0,9.9,8.96,-0.03,11.0,9.9,,4.0,,3.7,8.5,6.5,,24.75,12.62,6.49,,4.45,44,0.5781431578,0.7126374974
2025,2,Virginia,Coastal Carolina,12.0,41,48,7,13.78,9.26,-0.35,10.06,5.21,13.81,5.67,,-1.5,13.81,4.11,7.31,10.82,8.98,-5,,13.55,,13.0,11.12,,11.34,1.0,7.0,11.11,15.06,13.77,12.0,6.1,7.48,13.21,12.5,12.0,21.7,9.8,8.37,9.0,21.5,,11.1,,11.7,19.2,12.0,,7.65,19.85,14.32,,6.03,55,0.4722980948,0.7380115575
2025,2,Wake Forest,Kennesaw St.,17.5,1,10,9,21.68,28.01,7.15,20.6,26.16,21.72,22.17,,24.0,21.72,23.77,16.3,20.42,20.14,8,,19.7,,14.39,26.23,,18.21,12.5,25.8,21.66,22.72,21.66,18.0,12.6,9.26,21.88,17.5,,23.0,19.29,8.35,19.0,21.5,,18.0,,17.3,20.8,18.0,,25.8,22.38,24.52,,5.75,19,0.5686475013,0.8867335822
2025,2,Washington,Colorado St.,21.5,17,38,21,20.86,23.79,9.36,19.07,30.01,20.9,21.27,,18.5,20.9,20.18,11.04,19.54,15.59,8,,20.73,,15.5,23.22,,18.87,4.5,21.0,20.62,20.5,20.84,22.0,17.0,15.03,21.2,18.5,19.0,25.3,23.18,14.32,13.0,25.2,,18.8,,19.1,23.5,21.5,,25.25,21.08,10.13,,5.36,59,0.4534343432,0.8782553856
2025,2,Wisconsin,Miami (Ohio),18.0,17,17,0,19.32,18.84,-1.62,12.3,16.52,19.36,12.02,,2.0,19.36,14.61,5.23,14.58,5.13,1,,20.09,,13.56,15.67,,10.2,-5.0,14.6,14.78,14.41,19.3,17.5,9.2,11.29,11.33,18.0,15.0,27.1,14.96,11.1,14.0,24.9,,20.1,,17.1,24.0,18.0,,19.7,17.41,14.54,,7.31,17,0.4224331131,0.7979114344
2025,3,Alabama,Louisiana-Monroe,35.0,73,73,0,34.05,38.07,34.68,26.5,29.46,38.46,38.25,,24.0,35.53,36.71,17.35,31.67,16.95,14,,31.93,,28.19,40.44,,35.22,16.5,33.2,33.05,25.89,32.89,36.5,28.5,26.73,29.47,37.5,31.0,36.7,40.12,27.06,35.0,37.7,,34.2,,35.7,37.4,35.0,,30.9,42.49,20.92,,7.16,73,0.4241814667,0.9655047588
2025,3,Arkansas,Arkansas St.,23.5,42,56,14,19.9,22.25,17.74,14.98,24.44,22.46,18.87,,10.0,20.17,18.36,7.61,20.34,15.66,4,,21.29,,18.04,20.06,,18.29,10.0,18.6,19.29,19.11,19.47,23.5,13.7,15.95,19.9,21.5,13.0,34.3,25.04,14.93,23.0,32.7,,25.7,,18.0,30.2,23.0,,26.0,35.75,18.3,,6.99,70,0.4277252186,0.8795150655
2025,3,Auburn,Ball St.,42.5,39,42,3,41.01,33.87,19.98,30.21,34.68,47.78,25.38,,21.0,39.73,38.26,17.59,36.49,28.34,3,,43.23,41.05,31.18,39.8,,39.79,15.5,30.0,38.3,31.48,41.32,42.5,30.0,34.91,38.49,43.5,46.0,47.7,33.87,37.69,44.0,48.8,,48.3,,38.3,46.2,42.0,,55.1,41.7,28.39,,10.72,45,0.3768401217,0.9716225214
2025,3,BYU,Stanford,20.5,24,27,3,12.34,20.13,24.6,20.59,22.86,14.59,18.86,,20.5,11.79,22.28,18.39,20.44,20.98,7,,19.09,,24.74,23.09,,21.91,24.5,20.3,20.4,23.79,12.1,20.5,15.0,16.01,31.47,18.5,27.0,18.8,25.56,18.13,19.0,18.7,,24.8,,19.1,17.1,20.5,,11.0,23.5,22.93,,5.16,30,0.4985658649,0.8896456877
