canonical_model_id,model_name,predictions,bets,wins,losses,pushes,units,mae,bias,ats_pct,roi,wilson_low,seasons,rank,pool_rank,fold,line_reference,ranking_method,incremental_corr,incremental_gamma,incremental_score,residual_mae
linecfbp_ryder_analytics,Ryder Analytics,74.0,71,41.0,30.0,3.0,7.272727272727272,12.062162162162162,-3.721621621621622,0.5774647887323944,0.1024327784891165,0.4615074802202882,1.0,64.0,46,7,Midweek,wilson,,,,
linept_pugh,Pugh Ratings,3223.0,3170,1517.0,1653.0,51.0,-273.90909090909093,12.955795842382873,0.10785913744958116,0.47854889589905364,-0.0864066532836249,0.4611958139040824,5.0,65.0,47,7,Midweek,wilson,,,,
linept_curry,Daniel Curry Index,3226.0,3173,1516.0,1657.0,51.0,-278.81818181818187,13.440468071915685,0.062414755114693125,0.47778127954617083,-0.08787210268458301,0.46043847438216945,5.0,66.0,48,7,Midweek,wilson,,,,
linecfbp_cfb_graphs,CFB Graphs,1651.0,1606,776.0,830.0,27.0,-124.54545454545456,12.85832828588734,-0.015324046032707457,0.48318804483188044,-0.07755009623004643,0.4588173914922231,4.0,67.0,49,7,Midweek,wilson,,,,
linecfbp_cfb_victory,CFB Victory,621.0,588,292.0,296.0,12.0,-30.545454545454554,13.263929146537842,-0.6156199677938807,0.4965986394557823,-0.051948051948051965,0.45633923659087955,2.0,68.0,50,7,Midweek,wilson,,,,
linept_wayward,Waywardtrends,895.0,876,426.0,450.0,17.0,-62.72727272727274,12.80191061452514,0.16325139664804486,0.4863013698630137,-0.07160647571606477,0.45333536430476873,2.0,69.0,51,7,Midweek,wilson,,,,
linecfbp_matt_grissom,Matt Grissom,621.0,607,297.0,310.0,12.0,-40.00000000000001,12.48792270531401,0.04057971014492745,0.48929159802306427,-0.06589785831960462,0.44971700598173103,2.0,72.0,52,7,Midweek,wilson,,,,
linecfbp_kford,KFord,1136.0,1108,530.0,578.0,22.0,-96.1818181818182,12.18661971830986,-0.06285211267605624,0.47833935018050544,-0.08680669510994422,0.4490518824396135,3.0,73.0,53,7,Midweek,wilson,,,,
linecfbp_beta_rank,Beta_Rank,2158.0,2105,987.0,1118.0,35.0,-220.72727272727275,13.437534754402225,0.21714550509731234,0.4688836104513064,-0.10485856186568776,0.44764149658156765,5.0,74.0,54,7,Midweek,wilson,,,,
linecfbp_oddstrader_ai,OddsTrader AI,588.0,563,272.0,291.0,12.0,-43.727272727272734,13.403061224489797,0.11054421768707483,0.48312611012433393,-0.0776683352171807,0.44210262064476685,2.0,77.0,55,7,Midweek,wilson,,,,
linecfbp_pearatings,PEARatings,74.0,71,35.0,36.0,3.0,-4.1818181818181825,11.405405405405405,-2.348648648648649,0.49295774647887325,-0.05889884763124201,0.38005150511212876,1.0,80.0,56,7,Midweek,wilson,,,,
linecfbp_sportsratings,SportsRatings,74.0,70,34.0,36.0,3.0,-5.090909090909092,11.87027027027027,-1.0540540540540544,0.4857142857142857,-0.07272727272727274,0.37245878383038566,1.0,81.0,57,7,Midweek,wilson,,,,
linecfbp_mcillece_sports,McIllece Sports,74.0,71,34.0,37.0,3.0,-6.090909090909092,11.402702702702703,-0.8594594594594596,0.4788732394366197,-0.0857874519846351,0.36677523911181087,1.0,82.0,58,7,Midweek,wilson,,,,
linecfbp_david_sasser,David Sasser,74.0,71,33.0,38.0,3.0,-8.0,11.044594594594592,-2.985135135135135,0.4647887323943662,-0.11267605633802817,0.3535844784547986,1.0,83.0,59,7,Midweek,wilson,,,,
linecfbp_david_sasser,David Sasser,74.0,71,33.0,38.0,3.0,-8.0,11.044594594594592,-2.985135135135135,0.4647887323943662,-0.11267605633802817,0.3535844784547986,1.0,83.0,1,7,Midweek,mae,,,,
linecfbp_mcillece_sports,McIllece Sports,74.0,71,34.0,37.0,3.0,-6.090909090909092,11.402702702702703,-0.8594594594594596,0.4788732394366197,-0.0857874519846351,0.36677523911181087,1.0,82.0,2,7,Midweek,mae,,,,
linecfbp_pearatings,PEARatings,74.0,71,35.0,36.0,3.0,-4.1818181818181825,11.405405405405405,-2.348648648648649,0.49295774647887325,-0.05889884763124201,0.38005150511212876,1.0,80.0,3,7,Midweek,mae,,,,
linept_fluker,Slate Fluker,98.0,94,54.0,40.0,3.0,9.09090909090909,11.458775510204083,-0.9730612244897958,0.574468085106383,0.09671179883945841,0.47353237624438765,1.0,31.0,4,7,Midweek,mae,,,,
linecfbp_sportsratings,SportsRatings,74.0,70,34.0,36.0,3.0,-5.090909090909092,11.87027027027027,-1.0540540540540544,0.4857142857142857,-0.07272727272727274,0.37245878383038566,1.0,81.0,5,7,Midweek,mae,,,,
linecfbp_ryder_analytics,Ryder Analytics,74.0,71,41.0,30.0,3.0,7.272727272727272,12.062162162162162,-3.721621621621622,0.5774647887323944,0.1024327784891165,0.4615074802202882,1.0,64.0,6,7,Midweek,mae,,,,
