fold,ranking_method,top_n,top_n_label,line_reference,market_intercept,market_beta,signal_intercept,signal_market_beta,gamma,train_games,selected_models
2,mae,25,25,Open,0.19231712058015632,0.983066287198602,0.215447080594028,0.9893536224412351,0.23835771086126387,1695,25
2,mae,35,35,Open,0.19231712058015632,0.983066287198602,0.20316346215562667,0.9884674508315654,0.159214272124512,1695,35
2,mae,999,All,Open,0.19231712058015632,0.983066287198602,0.19156616286936404,0.986031308462607,0.042288597418334156,1695,58
2,incremental,3,3,Open,-0.5209381299854698,1.0164006271855357,-0.5033332874273247,1.0261269798175814,0.313920515797018,112,3
2,incremental,5,5,Open,-0.07105276172184179,0.9916593847251073,-0.08404604614641245,0.9895153291479907,0.39965906730090883,1132,5
2,incremental,8,8,Open,-0.09260954300740142,0.9962728436798419,-0.06304970189424482,0.9981485261240322,0.36364578451134205,1137,8
2,incremental,10,10,Open,0.19231712058015632,0.983066287198602,0.19174671156270076,0.9680055510794946,0.35522775897476966,1695,10
2,incremental,15,15,Open,0.19231712058015632,0.983066287198602,0.20977916296677582,0.9716900431669917,0.38263812447463263,1695,15
2,incremental,20,20,Open,0.19231712058015632,0.983066287198602,0.18613303428720346,0.9805340000933337,0.3568990187222733,1695,20
2,incremental,25,25,Open,0.19231712058015632,0.983066287198602,0.18695955713060333,0.9866732798105914,0.2994212131893647,1695,25
2,incremental,35,35,Open,0.19231712058015632,0.983066287198602,0.18532162141571346,0.9945526428524083,0.20260842078687905,1695,35
2,incremental,999,All,Open,0.19231712058015632,0.983066287198602,0.19156616286936415,0.9860313084626078,0.04228859741833445,1695,58
2,wilson,3,3,Midweek,0.11570916906846608,0.9664267649307084,0.11236705027924392,0.9629415983831534,-0.07523961750854391,1693,3
2,wilson,5,5,Midweek,0.11848118628663834,0.9667881297282778,0.12239398587154508,0.9635104758398113,-0.062144429896473286,1695,5
2,wilson,8,8,Midweek,0.11848118628663834,0.9667881297282778,0.11900886590963114,0.9638101378471228,-0.04858258730753407,1695,8
