canonical_model_id,model_name,source_coverage,n_source_members,source_specific_model_ids,source_model_names,relationship,preferred_source,include_default,notes,first_season,last_season,seasons_active,source_records
linecfbp_cfb_victory,CFB Victory,cfbpicker,1,linecfbp_cfb_victory,CFB Victory,distinct_model,cfbpicker,True,No curated cross-source identity mapping.,2024,2025,2,1098
linecfbp_cfbwe,CFBWE,cfbpicker,1,linecfbp_cfbwe,CFBWE,distinct_model,cfbpicker,True,No curated cross-source identity mapping.,2022,2022,1,516
linecfbp_cfbwe_average,CFBWE: Average,cfbpicker,1,linecfbp_cfbwe_average,CFBWE: Average,distinct_model,cfbpicker,True,No curated cross-source identity mapping.,2022,2022,1,516
linecfbp_cfbwe_margin,CFBWE: Margin,cfbpicker,1,linecfbp_cfbwe_margin,CFBWE: Margin,distinct_model,cfbpicker,True,No curated cross-source identity mapping.,2022,2022,1,516
linecfbp_cfbwe_rounded,CFBWE: Rounded,cfbpicker,1,linecfbp_cfbwe_rounded,CFBWE: Rounded,distinct_model,cfbpicker,True,No curated cross-source identity mapping.,2022,2022,1,516
linecfbp_cfbwe_talent,CFBWE: Talent,cfbpicker,1,linecfbp_cfbwe_talent,CFBWE: Talent,distinct_model,cfbpicker,True,No curated cross-source identity mapping.,2022,2022,1,516
linept_clean,Cleanup Hitter,predictiontracker,1,linept_clean,Cleanup Hitter,distinct_model,predictiontracker,True,No curated cross-source identity mapping.,2021,2025,5,3855
congrove,Congrove Computer Rankings,cfbpicker+predictiontracker,2,linecfbp_congrove | linept_cong,Congrove | Congrove Computer Rankings,confirmed_duplicate,predictiontracker,True,Congrove cross-source identity; forecasts are nearly identical.,2021,2025,5,6532
linept_dwig,DP Dwiggins,predictiontracker,1,linept_dwig,DP Dwiggins,distinct_model,predictiontracker,True,No curated cross-source identity mapping.,2021,2025,5,3888
linecfbp_dratings,DRatings,cfbpicker,1,linecfbp_dratings,DRatings,distinct_model,cfbpicker,True,No curated cross-source identity mapping.,2021,2025,5,2638
linept_curry,Daniel Curry Index,predictiontracker,1,linept_curry,Daniel Curry Index,distinct_model,predictiontracker,True,No curated cross-source identity mapping.,2021,2025,5,3893
