architecture,architecture_name,line_reference,threshold,blocks,bets,wins,losses,pushes,ats_pct,wilson_low,wilson_high,units_flat,roi_flat,units_win1,roi_win1,profitable_blocks,max_drawdown_flat,max_drawdown_win1,longest_losing_streak
E,Exact combinations → Top-50 → META,Midweek,0.0,8,1584,762,822,29,0.4810606060606061,0.4565304131940439,0.505682442294816,-129.27272727272728,-0.08161157024793389,-142.20000000000005,-0.0816115702479339,2,-139.9090909090922,-153.89999999999793,8
E,Exact combinations → Top-50 → META,Midweek,0.25,8,1255,614,641,26,0.4892430278884462,0.4616611561479086,0.5168905536144633,-82.81818181818184,-0.06599058312205724,-91.10000000000005,-0.06599058312205726,3,-99.45454545454625,-109.39999999999915,9
E,Exact combinations → Top-50 → META,Midweek,0.5,8,927,463,464,18,0.4994606256742179,0.4673419349139412,0.5315837684495527,-43.09090909090911,-0.0464842600764931,-47.400000000000034,-0.04648426007649312,3,-62.81818181818213,-69.10000000000034,10
E,Exact combinations → Top-50 → META,Midweek,0.75,8,687,354,333,15,0.5152838427947598,0.47793094888448645,0.5524667573335525,-11.18181818181819,-0.01627630011909489,-12.300000000000026,-0.01627630011909491,4,-35.1818181818182,-38.7,7
E,Exact combinations → Top-50 → META,Midweek,1.0,8,489,249,240,9,0.50920245398773,0.4649940692833811,0.5532673761790148,-13.636363636363644,-0.027886224205242626,-15.000000000000025,-0.02788622420524265,3,-30.818181818181838,-33.89999999999998,8
E,Exact combinations → Top-50 → META,Midweek,1.25,8,320,159,161,6,0.496875,0.44245536364513655,0.5513687775399365,-16.454545454545457,-0.051420454545454554,-18.100000000000012,-0.05142045454545458,2,-28.636363636363647,-31.5,6
E,Exact combinations → Top-50 → META,Midweek,1.5,8,208,108,100,3,0.5192307692307693,0.4515991137241986,0.586164951501895,-1.818181818181822,-0.00874125874125876,-2.000000000000008,-0.008741258741258777,5,-19.636363636363633,-21.59999999999999,7
E,Exact combinations → Top-50 → META,Midweek,1.75,8,132,65,67,2,0.49242424242424243,0.4085645767019153,0.5767123929450853,-7.909090909090913,-0.059917355371900856,-8.700000000000006,-0.05991735537190086,5,-11.54545454545455,-12.699999999999992,5
E,Exact combinations → Top-50 → META,Midweek,2.0,8,79,34,45,2,0.43037974683544306,0.3269364765548295,0.5402799943969628,-14.090909090909093,-0.17836593785960878,-15.500000000000004,-0.17836593785960878,2,-14.727272727272734,-16.199999999999992,4
A,All-model consensus,Open,0.0,8,2390,1180,1210,36,0.49372384937238495,0.4737056156514716,0.5137622268323419,-137.2727272727273,-0.05743628756181059,-151.0000000000001,-0.057436287561810614,2,-158.9090909090933,-174.7999999999967,12
A,All-model consensus,Open,0.25,8,1539,777,762,23,0.5048732943469786,0.4799126377644613,0.5298096824011346,-55.63636363636367,-0.03615098351940459,-61.20000000000006,-0.03615098351940461,1,-85.72727272727353,-94.30000000000037,9
A,All-model consensus,Open,0.5,8,870,443,427,15,0.5091954022988506,0.4760085606902142,0.5423013938827885,-24.272727272727288,-0.027899686520376193,-26.70000000000003,-0.027899686520376204,2,-59.090909090909086,-65.00000000000028,8
A,All-model consensus,Open,0.75,8,448,228,220,7,0.5089285714285714,0.4627565470663406,0.5549487726740285,-12.72727272727274,-0.02840909090909094,-14.000000000000018,-0.028409090909090943,3,-36.54545454545452,-40.20000000000007,9
A,All-model consensus,Open,1.0,8,206,109,97,3,0.529126213592233,0.4610538276322251,0.5961321640872433,2.0909090909090873,0.010150044130626637,2.29999999999999,0.01015004413062661,4,-15.818181818181817,-17.4,7
A,All-model consensus,Open,1.25,8,92,52,40,1,0.5652173913043478,0.46332061916830214,0.6618859717066414,7.272727272727271,0.07905138339920946,7.999999999999995,0.07905138339920943,6,-8.27272727272728,-9.099999999999993,6
A,All-model consensus,Open,1.5,8,40,22,18,1,0.55,0.39828829888440775,0.6929492471905531,1.9999999999999987,0.04999999999999997,2.1999999999999984,0.04999999999999996,5,-4.545454545454545,-5.0,4
A,All-model consensus,Open,1.75,8,14,7,7,1,0.5,0.2679886791947528,0.7320113208052472,-0.6363636363636365,-0.04545454545454546,-0.7000000000000006,-0.04545454545454549,2,-3.272727272727273,-3.6000000000000005,2
A,All-model consensus,Open,2.0,8,5,1,4,0,0.2,0.03622316096978745,0.6244717358814613,-3.090909090909091,-0.6181818181818182,-3.4000000000000004,-0.6181818181818183,0,-4.0,-4.4,4
B,Prior-ranked Top-N consensus,Open,0.0,8,2390,1179,1211,36,0.49330543933054394,0.47328809414432566,0.5133442711717421,-139.18181818181824,-0.05823507036896161,-153.10000000000008,-0.05823507036896161,1,-164.6363636363659,-181.09999999999627,9
B,Prior-ranked Top-N consensus,Open,0.25,8,1596,803,793,26,0.5031328320802005,0.4786245763564335,0.5276260424548288,-63.00000000000003,-0.039473684210526334,-69.30000000000007,-0.03947368421052635,1,-92.0909090909098,-101.29999999999936,11
B,Prior-ranked Top-N consensus,Open,0.5,8,947,493,454,14,0.5205913410770855,0.4887536767575003,0.5522626187011754,-5.818181818181841,-0.006143803398291279,-6.400000000000034,-0.006143803398291287,3,-39.54545454545464,-43.50000000000006,9
B,Prior-ranked Top-N consensus,Open,0.75,8,495,256,239,9,0.5171717171717172,0.47318737173980896,0.5608915823810983,-6.272727272727284,-0.012672176308539968,-6.9000000000000234,-0.012672176308539987,4,-28.090909090909133,-30.899999999999977,11
B,Prior-ranked Top-N consensus,Open,1.0,8,240,129,111,3,0.5375,0.4743247298390847,0.5994936834259201,6.272727272727268,0.026136363636363617,6.899999999999993,0.02613636363636361,5,-13.90909090909091,-15.299999999999985,7
