ranking_method,top_n,top_n_label,line_reference,model_residual_bin,games,mean_model_residual,mean_actual_residual,median_actual_residual
mae,3,3,Close (PT Updated/final),-2 to 0,412,-0.9873624595469257,-0.6140776699029126,0.0
mae,3,3,Close (PT Updated/final),0 to 2,426,0.9190845070422534,-0.17018779342723006,0.0
mae,3,3,Close (PT Updated/final),2 to 4,281,2.8362040332147096,1.0462633451957295,0.0
mae,3,3,Close (PT Updated/final),4 to 7,131,5.039312977099237,-0.6603053435114504,-0.5
mae,3,3,Close (PT Updated/final),≥7,28,8.926011904761904,0.5357142857142857,-2.0
mae,3,3,Midweek,≤-7,26,-8.709807692307692,-5.1923076923076925,-7.5
mae,3,3,Midweek,-7 to -4,136,-5.171703431372549,-1.3125,-1.5
mae,3,3,Midweek,-4 to -2,248,-2.8950201612903226,0.375,0.5
mae,3,3,Midweek,-2 to 0,407,-1.0050737100737102,-0.04668304668304668,0.5
mae,3,3,Midweek,0 to 2,421,0.8891528107680127,-1.4548693586698338,-1.0
mae,3,3,Midweek,2 to 4,287,2.8167770034843205,1.5,0.5
mae,3,3,Midweek,4 to 7,137,5.030924574209246,0.40145985401459855,0.0
mae,3,3,Midweek,≥7,21,9.021666666666667,0.3333333333333333,-3.0
mae,3,3,Open,≤-7,18,-8.735462962962963,-5.083333333333333,0.25
mae,3,3,Open,-7 to -4,135,-5.099888888888889,-0.9962962962962963,-1.0
mae,3,3,Open,-4 to -2,257,-2.911536964980545,-0.122568093385214,0.5
mae,3,3,Open,-2 to 0,424,-0.9178341194968554,-1.349056603773585,-0.5
mae,3,3,Open,0 to 2,427,0.9612880562060888,0.27400468384074944,0.5
mae,3,3,Open,2 to 4,266,2.821754385964912,1.6090225563909775,0.75
mae,3,3,Open,4 to 7,135,5.058555555555556,-0.4444444444444444,0.0
mae,3,3,Open,≥7,21,8.537698412698413,0.9761904761904762,0.0
mae,5,5,Close (PT Updated/final),≤-7,21,-8.553785714285715,2.4523809523809526,4.5
mae,5,5,Close (PT Updated/final),-7 to -4,148,-5.05277027027027,-1.8310810810810811,-0.25
mae,5,5,Close (PT Updated/final),-4 to -2,264,-2.893320075757576,-0.928030303030303,-0.25
mae,5,5,Close (PT Updated/final),-2 to 0,481,-0.975960498960499,-1.0488565488565489,-0.5
mae,5,5,Close (PT Updated/final),0 to 2,503,0.9486650099403579,0.7256461232604374,0.5
mae,5,5,Close (PT Updated/final),2 to 4,305,2.8666081967213115,-0.10655737704918032,-0.5
mae,5,5,Close (PT Updated/final),4 to 7,131,5.005068702290076,0.8931297709923665,0.0
mae,5,5,Close (PT Updated/final),≥7,22,9.196363636363637,-3.0,-3.0
mae,5,5,Midweek,≤-7,22,-8.296886363636366,-1.3409090909090908,4.25
mae,5,5,Midweek,-7 to -4,137,-5.049412408759123,-1.8832116788321167,-1.5
mae,5,5,Midweek,-4 to -2,284,-2.845174295774648,0.4524647887323944,0.5
mae,5,5,Midweek,-2 to 0,486,-0.9496553497942387,-1.545267489711934,-0.5
mae,5,5,Midweek,0 to 2,479,0.9377588726513569,0.44467640918580376,0.0
mae,5,5,Midweek,2 to 4,319,2.830333855799373,0.7068965517241379,0.0
mae,5,5,Midweek,4 to 7,126,4.903515873015873,-0.05555555555555555,-1.25
mae,5,5,Midweek,≥7,22,8.69190909090909,-6.295454545454546,-5.5
mae,5,5,Open,≤-7,18,-8.20075,-7.416666666666667,-8.25
mae,5,5,Open,-7 to -4,126,-4.971313492063492,-1.9880952380952381,-0.5
mae,5,5,Open,-4 to -2,293,-2.856382252559727,-1.1040955631399318,0.0
mae,5,5,Open,-2 to 0,456,-0.9459078947368422,0.06140350877192982,0.0
mae,5,5,Open,0 to 2,531,0.9235018832391714,-0.1902071563088512,0.0
mae,5,5,Open,2 to 4,314,2.877436305732484,0.4554140127388535,-0.5
mae,5,5,Open,4 to 7,119,4.914718487394957,0.8319327731092437,1.0
mae,5,5,Open,≥7,18,8.209555555555555,-0.6388888888888888,-1.0
mae,8,8,Close (PT Updated/final),≤-7,15,-8.258238095238095,1.6333333333333333,1.5
mae,8,8,Close (PT Updated/final),-7 to -4,116,-5.004473522167489,-2.043103448275862,-1.5
mae,8,8,Close (PT Updated/final),-4 to -2,322,-2.9170010721679973,-1.6149068322981366,-0.5
mae,8,8,Close (PT Updated/final),-2 to 0,571,-0.9554877616545744,-0.9877408056042032,0.0
mae,8,8,Close (PT Updated/final),0 to 2,596,0.9457636225631193,0.3540268456375839,0.0
mae,8,8,Close (PT Updated/final),2 to 4,328,2.8458560177119625,0.5015243902439024,-0.5
mae,8,8,Close (PT Updated/final),4 to 7,111,4.936151866151866,0.3153153153153153,-0.5
mae,8,8,Close (PT Updated/final),≥7,21,9.482023809523808,-1.2857142857142858,-2.0
