source_row,season,week,away,home,picker,candidate_matches,reason
1879,2023,3,Miami OH,Massachusetts,KFord,0,no_match
1880,2023,3,Miami OH,Massachusetts,Keeper,0,no_match
1881,2023,3,Miami OH,Massachusetts,Massey,0,no_match
1882,2023,3,Miami OH,Massachusetts,Moore Ratings,0,no_match
1883,2023,3,Miami OH,Massachusetts,OddsTrader AI,0,no_match
1884,2023,3,Miami OH,Massachusetts,PiRate,0,no_match
1885,2023,3,Miami OH,Massachusetts,PiRate: Bias,0,no_match
1886,2023,3,Miami OH,Massachusetts,PiRate: Mean,0,no_match
1887,2023,3,Miami OH,Massachusetts,Power Rank,0,no_match
1888,2023,3,Miami OH,Massachusetts,Power Rank: Free,0,no_match
1889,2023,3,Miami OH,Massachusetts,Professor Sides,0,no_match
1890,2023,3,Miami OH,Massachusetts,Room44 Bets,0,no_match
1891,2023,3,Miami OH,Massachusetts,SP+,0,no_match
1892,2023,3,Miami OH,Massachusetts,Sagarin,0,no_match
1893,2023,3,Miami OH,Massachusetts,Sagarin: Golden,0,no_match
1894,2023,3,Miami OH,Massachusetts,Sagarin: Predictor,0,no_match
1895,2023,3,Miami OH,Massachusetts,Sagarin: Recent,0,no_match
1896,2023,3,Miami OH,Massachusetts,SportsLine,0,no_match
1897,2023,3,Miami OH,Massachusetts,TShoe Index,0,no_match
1898,2023,3,Miami OH,Massachusetts,TeamRankings,0,no_match
1899,2023,3,Miami OH,Massachusetts,Wilson Ratings,0,no_match
1900,2023,3,Middle Tennessee,Missouri,Beta_Rank,0,no_match
1901,2023,3,Middle Tennessee,Missouri,Blake Atkinson,0,no_match
1902,2023,3,Middle Tennessee,Missouri,CBCR2: Power,0,no_match
1903,2023,3,Middle Tennessee,Missouri,CBCR2: Sam,0,no_match
1904,2023,3,Middle Tennessee,Missouri,CFB Geek,0,no_match
1905,2023,3,Middle Tennessee,Missouri,CFB Graphs,0,no_match
1906,2023,3,Middle Tennessee,Missouri,Congrove,0,no_match
1907,2023,3,Middle Tennessee,Missouri,DRatings,0,no_match
1908,2023,3,Middle Tennessee,Missouri,Dokter Entropy,0,no_match
1909,2023,3,Middle Tennessee,Missouri,ESPN FPI,0,no_match
1910,2023,3,Middle Tennessee,Missouri,FEI,0,no_match
1911,2023,3,Middle Tennessee,Missouri,Harville,0,no_match
1912,2023,3,Middle Tennessee,Missouri,JP+,0,no_match
1913,2023,3,Middle Tennessee,Missouri,KFord,0,no_match
1914,2023,3,Middle Tennessee,Missouri,Keeper,0,no_match
1915,2023,3,Middle Tennessee,Missouri,Massey,0,no_match
1916,2023,3,Middle Tennessee,Missouri,Moore Ratings,0,no_match
1917,2023,3,Middle Tennessee,Missouri,OddsTrader AI,0,no_match
1918,2023,3,Middle Tennessee,Missouri,PiRate,0,no_match
1919,2023,3,Middle Tennessee,Missouri,PiRate: Bias,0,no_match
1920,2023,3,Middle Tennessee,Missouri,PiRate: Mean,0,no_match
1921,2023,3,Middle Tennessee,Missouri,Power Rank,0,no_match
1922,2023,3,Middle Tennessee,Missouri,Power Rank: Free,0,no_match
1923,2023,3,Middle Tennessee,Missouri,Professor Sides,0,no_match
1924,2023,3,Middle Tennessee,Missouri,Room44 Bets,0,no_match
1925,2023,3,Middle Tennessee,Missouri,SP+,0,no_match
1926,2023,3,Middle Tennessee,Missouri,Sagarin,0,no_match
