ranking_method,top_n,top_n_label,line_reference,edge_cutoff_points,bets,wins,losses,pushes,ats_pct,wilson_low,wilson_high,units_flat,roi_flat,profitable_folds
incremental,35,35,Close (PT Updated/final),2.0,1,0,1,0,0.0,0.0,0.7934567085261071,-1.0,-1.0,0
incremental,35,35,Close (PT Updated/final),3.0,0,0,0,0,,,,0.0,,0
incremental,35,35,Close (PT Updated/final),4.0,0,0,0,0,,,,0.0,,0
incremental,35,35,Midweek,0.0,2382,1226,1156,44,0.5146935348446684,0.4946150929104696,0.5347246587310476,-41.454545454545496,-0.01740325166017863,2
incremental,35,35,Midweek,0.5,423,213,210,5,0.5035460992907801,0.4560810434673578,0.5509473249016109,-16.363636363636374,-0.03868471953578339,1
incremental,35,35,Midweek,1.0,80,41,39,3,0.5125,0.4049314460370689,0.6189230605563166,-1.7272727272727266,-0.021590909090909084,2
incremental,35,35,Midweek,1.5,12,8,4,1,0.6666666666666666,0.3906175873976139,0.8618821601026385,3.2727272727272725,0.2727272727272727,3
incremental,35,35,Midweek,2.0,2,1,1,0,0.5,0.09452865480086614,0.9054713451991339,-0.09090909090909094,-0.04545454545454547,1
incremental,35,35,Midweek,3.0,1,1,0,0,1.0,0.20654329147389294,1.0,0.9090909090909091,0.9090909090909091,1
incremental,35,35,Midweek,4.0,1,1,0,0,1.0,0.20654329147389294,1.0,0.9090909090909091,0.9090909090909091,1
incremental,35,35,Open,0.0,2390,1199,1191,36,0.501673640167364,0.4816411852891669,0.5217007233818163,-101.0,-0.04225941422594142,1
incremental,35,35,Open,0.5,849,434,415,13,0.5111896348645465,0.4775899212006126,0.5446885417636705,-20.454545454545496,-0.024092515258593045,2
incremental,35,35,Open,1.0,192,97,95,3,0.5052083333333334,0.4350815894143847,0.5751307454521606,-6.818181818181827,-0.03551136363636368,3
incremental,35,35,Open,1.5,44,24,20,0,0.5454545454545454,0.4006593217065349,0.6829499221314639,1.8181818181818166,0.04132231404958674,3
incremental,35,35,Open,2.0,7,5,2,0,0.7142857142857143,0.35892909014821267,0.9177828342909844,2.545454545454545,0.3636363636363636,3
incremental,35,35,Open,3.0,0,0,0,0,,,,0.0,,0
incremental,35,35,Open,4.0,0,0,0,0,,,,0.0,,0
incremental,999,All,Close (PT Updated/final),0.0,2374,1195,1179,52,0.5033698399326032,0.483267694843113,0.5234610965111977,-92.63636363636374,-0.0390212146741212,1
incremental,999,All,Close (PT Updated/final),0.5,855,437,418,18,0.5111111111111111,0.4776293801773442,0.5444934420054656,-20.727272727272748,-0.024242424242424267,3
incremental,999,All,Close (PT Updated/final),1.0,274,151,123,5,0.551094890510949,0.49189869711839995,0.6088781483935753,14.27272727272728,0.05209024552090248,5
incremental,999,All,Close (PT Updated/final),1.5,62,37,25,1,0.5967741935483871,0.4725024243632989,0.7097531708834752,8.636363636363633,0.13929618768328442,4
incremental,999,All,Close (PT Updated/final),2.0,15,10,5,0,0.6666666666666666,0.41713125151212976,0.8482389930530876,4.09090909090909,0.27272727272727265,2
incremental,999,All,Close (PT Updated/final),3.0,2,0,2,0,0.0,0.0,0.6576280471103807,-2.0,-1.0,0
incremental,999,All,Close (PT Updated/final),4.0,0,0,0,0,,,,0.0,,0
incremental,999,All,Midweek,0.0,2382,1197,1185,44,0.5025188916876574,0.4824516558286754,0.5225780158812989,-96.81818181818176,-0.04064575223265397,2
incremental,999,All,Midweek,0.5,799,405,394,12,0.5068836045056321,0.47226706816726516,0.5414342646983961,-25.818181818181813,-0.0323131186710661,2
incremental,999,All,Midweek,1.0,240,127,113,2,0.5291666666666667,0.46605389791998963,0.5913604235083475,2.4545454545454533,0.010227272727272722,3
incremental,999,All,Midweek,1.5,49,27,22,1,0.5510204081632653,0.41314866799678107,0.6814737507036366,2.545454545454543,0.0519480519480519,2
incremental,999,All,Midweek,2.0,17,12,5,0,0.7058823529411765,0.468664666737861,0.8672020613444361,5.909090909090908,0.3475935828877005,2
incremental,999,All,Midweek,3.0,2,0,2,0,0.0,0.0,0.6576280471103807,-2.0,-1.0,0
incremental,999,All,Midweek,4.0,1,0,1,0,0.0,0.0,0.7934567085261071,-1.0,-1.0,0
incremental,999,All,Open,0.0,2390,1212,1178,36,0.507112970711297,0.48707369849639315,0.5271294133552847,-76.18181818181824,-0.031875237732978345,1
incremental,999,All,Open,0.5,111,56,55,1,0.5045045045045045,0.4129089369409994,0.5957987090688087,-4.0909090909090935,-0.036855036855036875,2
incremental,999,All,Open,1.0,4,2,2,0,0.5,0.15003570882017148,0.8499642911798285,-0.18181818181818188,-0.04545454545454547,0
incremental,999,All,Open,1.5,1,1,0,0,1.0,0.20654329147389294,1.0,0.9090909090909091,0.9090909090909091,1
incremental,999,All,Open,2.0,0,0,0,0,,,,0.0,,0
incremental,999,All,Open,3.0,0,0,0,0,,,,0.0,,0
incremental,999,All,Open,4.0,0,0,0,0,,,,0.0,,0
mae,3,3,Close (PT Updated/final),0.0,1643,803,840,40,0.4887401095556908,0.46462342941431567,0.5129093217622395,-110.0,-0.06695069993913573,0
mae,3,3,Close (PT Updated/final),0.5,822,393,429,24,0.4781021897810219,0.4441347897248773,0.5122733156551375,-71.72727272727275,-0.08725945587259458,1
mae,3,3,Close (PT Updated/final),1.0,473,228,245,10,0.4820295983086681,0.43732456578559065,0.527024182310213,-37.72727272727275,-0.07976167595617917,1
mae,3,3,Close (PT Updated/final),1.5,287,141,146,6,0.4912891986062718,0.43394860250034123,0.5488599090743442,-17.818181818181813,-0.06208425720620841,1
mae,3,3,Close (PT Updated/final),2.0,209,103,106,3,0.49282296650717705,0.4257858257636524,0.5601191852868189,-12.36363636363636,-0.059156154849934736,1
mae,3,3,Close (PT Updated/final),3.0,113,60,53,1,0.5309734513274337,0.4394610519825767,0.6204491169983343,1.5454545454545467,0.013676588897827847,3
mae,3,3,Close (PT Updated/final),4.0,81,42,39,1,0.5185185185185185,0.4113545922111773,0.6240054198583734,-0.8181818181818201,-0.010101010101010124,1
mae,3,3,Midweek,0.0,1653,799,854,30,0.48336358136721114,0.459339385831992,0.5074649242481025,-127.63636363636363,-0.0772149810262333,0
mae,3,3,Midweek,0.5,813,388,425,13,0.47724477244772445,0.44309796709621685,0.511605613132802,-72.27272727272731,-0.08889634350888968,1
mae,3,3,Midweek,1.0,517,250,267,7,0.4835589941972921,0.4407622007950421,0.5265983172588155,-39.72727272727275,-0.07684192016880609,0
mae,3,3,Midweek,1.5,337,168,169,5,0.49851632047477745,0.44545096837124676,0.551615117458652,-16.27272727272728,-0.04828702454815217,2
mae,3,3,Midweek,2.0,246,118,128,5,0.4796747967479675,0.41803749225204756,0.5419371476798134,-20.727272727272734,-0.08425720620842575,0
mae,3,3,Midweek,3.0,139,71,68,4,0.5107913669064749,0.4285225853728892,0.5924796996757241,-3.4545454545454533,-0.024852844996729878,1
mae,3,3,Midweek,4.0,94,51,43,1,0.5425531914893617,0.44215267421960525,0.6396121374760334,3.3636363636363598,0.03578336557059957,2
mae,3,3,Open,0.0,1656,805,851,27,0.4861111111111111,0.46209821492404435,0.5101882972347062,-119.18181818181824,-0.071969696969697,1
mae,3,3,Open,0.5,1006,496,510,17,0.49304174950298213,0.4622322545074112,0.5239041851084653,-59.09090909090912,-0.05873847822157965,2
mae,3,3,Open,1.0,619,292,327,10,0.4717285945072698,0.4326975392459733,0.5111083979297065,-61.54545454545456,-0.09942722866793952,2
mae,3,3,Open,1.5,408,198,210,8,0.4852941176470588,0.43716156996040295,0.533701014101042,-30.0,-0.07352941176470588,2
mae,3,3,Open,2.0,282,141,141,6,0.5,0.44203533121547095,0.557964668784529,-12.818181818181813,-0.045454545454545435,3
mae,3,3,Open,3.0,146,75,71,3,0.5136986301369864,0.433317762545053,0.5933770938900093,-2.8181818181818272,-0.019302615193026215,2
mae,3,3,Open,4.0,84,42,42,2,0.5,0.39543750035009767,0.6045624996499024,-3.81818181818182,-0.04545454545454548,1
mae,5,5,Close (PT Updated/final),0.0,1830,926,904,45,0.5060109289617486,0.4831152904011983,0.5288813836845024,-62.181818181818244,-0.033979135618479914,2
mae,5,5,Close (PT Updated/final),0.5,586,297,289,16,0.5068259385665529,0.46643383904082913,0.547129124303906,-19.0,-0.032423208191126277,3
mae,5,5,Close (PT Updated/final),1.0,289,141,148,5,0.48788927335640137,0.4307970337939119,0.5452992585361396,-19.818181818181813,-0.06857502359232462,2
mae,5,5,Close (PT Updated/final),1.5,149,79,70,3,0.5302013422818792,0.4503139951876839,0.6085704969924556,1.818181818181813,0.012202562538132974,2
mae,5,5,Close (PT Updated/final),2.0,117,62,55,2,0.5299145299145299,0.43996887268203627,0.6179581987900395,1.3636363636363598,0.011655011655011621,1
mae,5,5,Close (PT Updated/final),3.0,76,43,33,1,0.5657894736842105,0.4538555158542199,0.671392475168004,6.090909090909086,0.0801435406698564,2
mae,5,5,Close (PT Updated/final),4.0,50,30,20,1,0.6,0.4618118910275937,0.7239181021375425,7.272727272727273,0.14545454545454548,1
mae,5,5,Midweek,0.0,1841,936,905,34,0.5084193373166758,0.4855886643996249,0.5312149462735084,-54.09090909090912,-0.029381265122710006,4
mae,5,5,Midweek,0.5,688,341,347,17,0.4956395348837209,0.4584068816719417,0.5329206129453232,-37.0,-0.05377906976744186,1
