ranking_method,top_n,top_n_label,line_reference,oos_games,market_mae,signal_mae,mae_improvement,market_rmse,signal_rmse,rmse_improvement,residual_corr,mean_gamma,median_gamma,positive_gamma_folds,folds
wilson,20,20,Midweek,2426,12.084770273118034,12.081549748965374,0.0032205241526597206,15.402706197306758,15.396879100028588,0.005827097278169546,0.08212566269072523,-0.024467290583777956,0.018605285918291026,5,8
wilson,20,20,Open,2426,12.088022830804865,12.090402719162457,-0.0023798883575913976,15.32135190064805,15.315055179711972,0.006296720936077804,0.009689370950441978,0.09867462491263997,0.12096238394331571,8,8
wilson,25,25,Close (PT Updated/final),2426,12.027149960394288,12.023697709089008,0.0034522513052799297,15.2550385303133,15.256930651607217,-0.0018921212939169152,0.006177224775853656,-0.06577323372688836,-0.03183881208575762,0,8
wilson,25,25,Midweek,2426,12.084770273118034,12.083259995389488,0.001510277728545617,15.402706197306758,15.406236367820771,-0.0035301705140131645,0.08041392416949211,-0.048037556272248455,-0.026966890903579455,1,8
wilson,25,25,Open,2426,12.088022830804865,12.09144490417507,-0.0034220733702046147,15.32135190064805,15.317620485979209,0.003731414668841637,0.012669388546277045,0.09606550642545407,0.0966145049721766,8,8
wilson,35,35,Close (PT Updated/final),2426,12.027149960394288,12.02330547496123,0.0038444854330581535,15.2550385303133,15.259733785420426,-0.004695255107126428,0.0016438738702210793,-0.09463335129938885,-0.08812886992364793,0,8
wilson,35,35,Midweek,2426,12.084770273118034,12.083771598016224,0.0009986751018100648,15.402706197306758,15.419083123298273,-0.016376925991515634,0.07378716260692064,-0.08447542114758516,-0.05099545509643444,0,8
wilson,35,35,Open,2426,12.088022830804865,12.091683609860887,-0.003660779056021468,15.32135190064805,15.319534212360816,0.0018176882872342759,0.008427715825110895,0.0925137434786893,0.09039692173840849,8,8
wilson,999,All,Close (PT Updated/final),2426,12.027149960394288,12.02416017421523,0.002989786179057319,15.2550385303133,15.264743272933153,-0.00970474261985288,0.0006671460856208661,-0.15233279459619434,-0.1396667249176717,0,8
wilson,999,All,Midweek,2426,12.084770273118034,12.084245555348812,0.0005247177692222493,15.402706197306758,15.429709248013564,-0.02700305070680642,0.07341459754706683,-0.1352867079359092,-0.1154009035285434,0,8
wilson,999,All,Open,2426,12.088022830804865,12.09109865788893,-0.0030758270840642865,15.32135190064805,15.320799423919254,0.0005524767287958809,0.0062109407245684554,0.05442000798500909,0.050086950990798185,8,8
